"tag","tag_group"
"выпечка","Кулинария"
"пекарство","Кулинария"
"готовлю шоколад","Кулинария"
"готовлю конфеты","Кулинария"
"пеку хлеб","Кулинария"
"делаю тортики","Кулинария"
"сомелье","Кулинария"
"BBQ","Кулинария"
"люблю шашлык","Кулинария"
"веган","Кулинария"
"вегатерианец ","Кулинария"
"здоровая еда","Кулинария"
"люблю итальянскую кухню","Кулинария"
"люблю готовить","Кулинария"
"бары","Кулинария"
"десерты","Кулинария"
"фуд-блогер","Кулинария"
"работаю в ресторане","Кулинария"
"французская кухня","Кулинария"
"шеф-повар","Кулинария"
"повар","Кулинария"
"молекулярная кухня","Кулинария"
"бармен","Кулинария"
"паб","Кулинария"
"сомелье","Кулинария"
"люблю вино","Кулинария"
"Итальянская кухня","Кулинария"
"Японская кухня","Кулинария"
"Французская кухня","Кулинария"
"Мексиканская кухня","Кулинария"
"Испанская кухня","Кулинария"
"Тайская кухня","Кулинария"
"Китайская кухня","Кулинария"
"Вьетнамская кухня","Кулинария"
"Индийская кухня","Кулинария"
"Греческая кухня","Кулинария"
"Американская кухня","Кулинария"
"Бразильская кухня","Кулинария"
"Корейская кухня","Кулинария"
"Немецкая кухня","Кулинария"
"Турецкая кухня","Кулинария"
"Русская кухня","Кулинария"
"Аргентинская кухня","Кулинария"
"Ливанская кухня","Кулинария"
"Марокканская кухня","Кулинария"
"Португальская кухня","Кулинария"
"Шведская кухня","Кулинария"
"Польская кухня","Кулинария"
"Украинская кухня","Кулинария"
"Румынская кухня","Кулинария"
"Бег","Спорт"
"Плавание","Спорт"
"Езда на велосипеде","Спорт"
"Аэробика","Спорт"
"Йога","Спорт"
"Пилатес","Спорт"
"Кроссфит","Спорт"
"Зумба","Спорт"
"Танцы","Спорт"
"Единоборства","Спорт"
"Боевые искусства","Спорт"
"Футбол","Спорт"
"Баскетбол","Спорт"
"Волейбол","Спорт"
"Теннис","Спорт"
"Гольф","Спорт"
"Хоккей","Спорт"
"Фигурное катание","Спорт"
"Лыжи","Спорт"
"Сноуборд","Спорт"
"Серфинг","Спорт"
"Виндсерфинг","Спорт"
"Каякинг","Спорт"
"Туризм","Спорт"
"Альпинизм","Спорт"
"Скалолазание","Спорт"
"Велогонки","Спорт"
"Красочный забег","Спорт"
"Триатлон","Спорт"
"Покорил Эльбрус","Спорт"
"ММА","Спорт"
"Бодибилдинг","Спорт"
"Плавание","Спорт"
"Гимнастика","Спорт"
"Кикбоксинг","Спорт"
"Пилон","Спорт"
"Увлекаюсь фристайлом","Спорт"
"Занимаюсь фитнесом","Спорт"
"Увлекаюсь альпинизмом","Спорт"
"Занимаюсь греблей","Спорт"
"Люблю боевые искусства","Спорт"
"Увлекаюсь зумбой","Спорт"
"Занимаюсь кроссфитом","Спорт"
"Люблю спортивные танцы","Спорт"
"Увлекаюсь скандинавской ходьбой","Спорт"
"Занимаюсь дартсом","Спорт"
"Люблю гонки","Спорт"
"Увлекаюсь американским футболом","Спорт"
"Занимаюсь боулингом","Спорт"
"Люблю греблю на байдарках","Спорт"
"Программирование","ИТ"
"Криптовалюта","ИТ"
"Веб-разработка","ИТ"
"Мобильные приложения","ИТ"
"Яндекс","ИТ"
"Анализ данных","ИТ"
"Искусственный интеллект","ИТ"
"Машинное обучение","ИТ"
"Сбер","ИТ"
"Озон","ИТ"
"Кибербезопасность","ИТ"
"Системный администратор","ИТ"
"Сетевые технологии","ИТ"
"Разработка игр","ИТ"
"VR и AR технологии","ИТ"
"IoT (интернет вещей)","ИТ"
"Блокчейн технологии","ИТ"
"Компьютерная графика","ИТ"
"IT консалтинг","ИТ"
"Python","ИТ"
"Java","ИТ"
"JavaScript","ИТ"
"Go","ИТ"
"Kotlin","ИТ"
"Flatter","ИТ"
"Swift","ИТ"
"Разработка мобильных игр","ИТ"
"Data Science","ИТ"
"Data Engineering","ИТ"
"Data Visualization","ИТ"
"Робототехника","ИТ"
"Программирование на C++","ИТ"
"Разработка веб-сервисов","ИТ"
"Компьютерное зрение","ИТ"
"Нейронные сети","ИТ"
"Глубокое обучение","ИТ"
"Аналитика больших данных","ИТ"
"ШАД","ИТ"
"Поступашки","ИТ"
"Информационная безопасность","ИТ"
"Продакт менеджер","ИТ"
"Проджект менеджер","ИТ"
"Системный аналитик","ИТ"
"Компьютерное моделирование","ИТ"
"Тинькоф","ИТ"
"Финтех","ИТ"
"Эдтех","ИТ"
"Спорттех","ИТ"
"AR/VR","ИТ"
"Фуллстэк разработчик","ИТ"
"Драма","Кино"
"Комедия","Кино"
